scholarship_id,title,field,eligibility,description,deadline,funding_type,eligible_countries
S0026,Law Excellence Scholarship 26,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Data Science students focusing on AI. Research grant available.,2026-04-02,Research Grant,"Australia, India, Germany"
S0027,Computer Science Excellence Scholarship 27,Environmental Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Environmental Conservation. Full tuition coverage available.,2026-06-06,Research Grant,"India, Germany, USA"
S0028,Data Science Excellence Scholarship 28,Arts,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Education Technology. Research grant available.,2026-11-02,Full,"India, UK, Canada"
S0029,Computer Science Excellence Scholarship 29,Education,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Medical Research. Research grant available.,2026-06-13,Partial,"UK, Germany, Japan"
S0030,Law Excellence Scholarship 30,Data Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Business students focusing on Environmental Conservation. Research grant available.,2026-05-11,Research Grant,"India, Brazil, Canada"
S0031,Law Excellence Scholarship 31,Education,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Business Management. Research grant available.,2026-05-26,Partial,"Australia, Canada, USA"
S0032,Engineering Excellence Scholarship 32,Medicine,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Medicine students focusing on Medical Research. Partial funding available.,2026-06-23,Full,"Canada, Germany, Japan"
S0033,Computer Science Excellence Scholarship 33,Law,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Computer Science students focusing on Web Development. Partial funding available.,2026-02-16,Research Grant,"Germany, India, Brazil"
S0034,Law Excellence Scholarship 34,Arts,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Engineering students focusing on Machine Learning. Full tuition coverage available.,2026-05-27,Partial,"UK, South Africa, India"
S0035,Business Excellence Scholarship 35,Business,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Web Development. Full tuition coverage available.,2026-03-06,Full,"India, South Africa, UK"
S0036,Environmental Science Excellence Scholarship 36,Law,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Data Analysis. Partial funding available.,2026-04-11,Full,"UAE, USA, UK"
S0037,Computer Science Excellence Scholarship 37,Law,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Data Science students focusing on Business Management. Full tuition coverage available.,2026-08-18,Research Grant,"India, Germany, Brazil"
S0038,Environmental Science Excellence Scholarship 38,Engineering,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Business Management. Partial funding available.,2026-03-31,Full,"Brazil, USA, Germany"
S0039,Computer Science Excellence Scholarship 39,Arts,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Law students focusing on Education Technology. Research grant available.,2025-12-09,Partial,"India, Japan, Germany"
S0040,Engineering Excellence Scholarship 40,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Engineering students focusing on Creative Arts. Full tuition coverage available.,2026-06-14,Full,"Brazil, Australia, South Africa"
S0041,Engineering Excellence Scholarship 41,Data Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Medicine students focusing on AI. Full tuition coverage available.,2026-01-07,Partial,"Australia, India, Japan"
S0042,Business Excellence Scholarship 42,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Business students focusing on Machine Learning. Full tuition coverage available.,2026-08-26,Research Grant,"India, UK, Australia"
S0043,Education Excellence Scholarship 43,Business,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Medical Research. Full tuition coverage available.,2026-02-08,Full,"Japan, Germany, UAE"
S0044,Medicine Excellence Scholarship 44,Computer Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Environmental Conservation. Research grant available.,2026-03-05,Research Grant,"Germany, South Africa, USA"
S0045,Computer Science Excellence Scholarship 45,Medicine,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Business Management. Full tuition coverage available.,2026-08-20,Partial,"USA, Japan, South Africa"
S0046,Law Excellence Scholarship 46,Environmental Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Business students focusing on Business Management. Research grant available.,2026-02-23,Research Grant,"Japan, USA, India"
S0047,Environmental Science Excellence Scholarship 47,Medicine,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Medicine students focusing on Business Management. Full tuition coverage available.,2026-08-01,Full,"Australia, Brazil, India"
S0048,Arts Excellence Scholarship 48,Environmental Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Education students focusing on Medical Research. Partial funding available.,2026-08-09,Research Grant,"Japan, Brazil, UAE"
S0049,Computer Science Excellence Scholarship 49,Business,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Medical Research. Full tuition coverage available.,2026-04-19,Research Grant,"Germany, UAE, Australia"
S0050,Arts Excellence Scholarship 50,Engineering,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Legal Studies. Full tuition coverage available.,2026-10-25,Full,"Canada, Germany, India"
S0051,Education Excellence Scholarship 51,Arts,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Arts students focusing on Data Analysis. Research grant available.,2026-03-16,Full,"South Africa, Canada, USA"
S0052,Engineering Excellence Scholarship 52,Law,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Education Technology. Full tuition coverage available.,2026-03-16,Research Grant,"Brazil, Japan, UK"
S0053,Law Excellence Scholarship 53,Data Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Arts students focusing on AI. Partial funding available.,2026-04-21,Partial,"Germany, UAE, Brazil"
S0054,Computer Science Excellence Scholarship 54,Education,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Medicine students focusing on Creative Arts. Research grant available.,2026-10-05,Partial,"Australia, South Africa, Canada"
S0055,Medicine Excellence Scholarship 55,Engineering,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Medicine students focusing on Machine Learning. Partial funding available.,2026-04-11,Full,"Canada, USA, South Africa"
S0056,Engineering Excellence Scholarship 56,Law,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Education students focusing on Education Technology. Full tuition coverage available.,2026-07-22,Research Grant,"South Africa, Canada, Germany"
S0057,Data Science Excellence Scholarship 57,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Engineering students focusing on Education Technology. Partial funding available.,2026-09-02,Research Grant,"India, Germany, Canada"
S0058,Law Excellence Scholarship 58,Data Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Law students focusing on Medical Research. Partial funding available.,2026-01-14,Partial,"Canada, USA, Japan"
S0059,Medicine Excellence Scholarship 59,Law,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Education students focusing on Data Analysis. Full tuition coverage available.,2026-03-28,Full,"UAE, South Africa, Brazil"
S0060,Law Excellence Scholarship 60,Medicine,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Education students focusing on Business Management. Full tuition coverage available.,2026-07-15,Partial,"Australia, Brazil, Japan"
S0061,Medicine Excellence Scholarship 61,Business,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Law students focusing on Medical Research. Partial funding available.,2026-05-30,Partial,"Germany, UK, India"
S0062,Medicine Excellence Scholarship 62,Arts,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Web Development. Full tuition coverage available.,2026-07-19,Partial,"Japan, USA, UK"
S0063,Medicine Excellence Scholarship 63,Arts,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Computer Science students focusing on Education Technology. Partial funding available.,2025-12-21,Full,"India, Canada, USA"
S0064,Arts Excellence Scholarship 64,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Legal Studies. Partial funding available.,2026-08-04,Partial,"UK, Australia, South Africa"
S0065,Data Science Excellence Scholarship 65,Arts,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on AI. Research grant available.,2026-01-24,Full,"Brazil, UAE, UK"
S0066,Education Excellence Scholarship 66,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Arts students focusing on Education Technology. Partial funding available.,2026-04-24,Research Grant,"UK, Brazil, Australia"
S0067,Law Excellence Scholarship 67,Environmental Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Medicine students focusing on Business Management. Research grant available.,2026-09-11,Partial,"South Africa, UK, India"
S0068,Law Excellence Scholarship 68,Engineering,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Data Analysis. Full tuition coverage available.,2026-07-21,Research Grant,"UAE, Australia, Germany"
S0069,Data Science Excellence Scholarship 69,Environmental Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Education students focusing on Machine Learning. Full tuition coverage available.,2026-07-25,Research Grant,"Canada, South Africa, UK"
S0070,Data Science Excellence Scholarship 70,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Law students focusing on Machine Learning. Research grant available.,2026-08-28,Full,"South Africa, Australia, UK"
S0071,Law Excellence Scholarship 71,Education,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Business students focusing on AI. Partial funding available.,2026-01-24,Research Grant,"Germany, India, South Africa"
S0072,Law Excellence Scholarship 72,Education,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Web Development. Full tuition coverage available.,2026-03-10,Partial,"UK, South Africa, Australia"
S0073,Education Excellence Scholarship 73,Education,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Business students focusing on Environmental Conservation. Research grant available.,2026-03-05,Research Grant,"Japan, Canada, Brazil"
S0074,Data Science Excellence Scholarship 74,Law,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Creative Arts. Partial funding available.,2026-09-02,Partial,"Germany, Brazil, Japan"
S0075,Engineering Excellence Scholarship 75,Education,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Law students focusing on Legal Studies. Full tuition coverage available.,2025-12-10,Full,"UK, Germany, India"
S0076,Law Excellence Scholarship 76,Computer Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Creative Arts. Research grant available.,2026-04-20,Partial,"Japan, UK, UAE"
S0077,Medicine Excellence Scholarship 77,Law,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Arts students focusing on AI. Full tuition coverage available.,2025-12-30,Partial,"UAE, Brazil, UK"
S0078,Law Excellence Scholarship 78,Computer Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Web Development. Full tuition coverage available.,2026-08-19,Partial,"USA, Canada, UK"
S0079,Business Excellence Scholarship 79,Education,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Medicine students focusing on Machine Learning. Partial funding available.,2026-08-26,Full,"USA, India, Germany"
S0080,Education Excellence Scholarship 80,Law,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Engineering students focusing on Business Management. Full tuition coverage available.,2026-09-03,Full,"Brazil, Australia, UAE"
S0081,Computer Science Excellence Scholarship 81,Engineering,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Education Technology. Research grant available.,2026-10-12,Full,"South Africa, Australia, Germany"
S0082,Engineering Excellence Scholarship 82,Business,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Data Science students focusing on Machine Learning. Research grant available.,2026-10-01,Research Grant,"India, UK, Japan"
S0083,Environmental Science Excellence Scholarship 83,Arts,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Medicine students focusing on Environmental Conservation. Partial funding available.,2025-12-12,Partial,"Canada, Brazil, UK"
S0084,Computer Science Excellence Scholarship 84,Arts,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Data Analysis. Partial funding available.,2026-06-12,Full,"Canada, UAE, Germany"
S0085,Medicine Excellence Scholarship 85,Business,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Arts students focusing on Legal Studies. Full tuition coverage available.,2026-05-27,Full,"Australia, Brazil, USA"
S0086,Computer Science Excellence Scholarship 86,Engineering,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Law students focusing on Web Development. Full tuition coverage available.,2026-10-02,Research Grant,"India, Germany, UK"
S0087,Environmental Science Excellence Scholarship 87,Engineering,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Education students focusing on AI. Full tuition coverage available.,2026-01-13,Partial,"Australia, Japan, UAE"
S0088,Engineering Excellence Scholarship 88,Business,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Data Science students focusing on Web Development. Full tuition coverage available.,2026-04-17,Full,"India, Canada, USA"
S0089,Arts Excellence Scholarship 89,Arts,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Medicine students focusing on AI. Research grant available.,2026-04-09,Partial,"Australia, USA, Canada"
S0090,Law Excellence Scholarship 90,Medicine,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Business students focusing on Creative Arts. Research grant available.,2026-04-21,Research Grant,"UK, India, UAE"
S0091,Business Excellence Scholarship 91,Environmental Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Law students focusing on Business Management. Research grant available.,2026-09-20,Full,"USA, South Africa, Canada"
S0092,Education Excellence Scholarship 92,Medicine,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Law students focusing on Creative Arts. Research grant available.,2026-05-01,Partial,"UAE, South Africa, Japan"
S0093,Engineering Excellence Scholarship 93,Computer Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Business students focusing on Medical Research. Partial funding available.,2026-01-23,Research Grant,"India, Canada, Australia"
S0094,Arts Excellence Scholarship 94,Environmental Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Environmental Conservation. Partial funding available.,2026-07-10,Partial,"UAE, Canada, USA"
S0095,Business Excellence Scholarship 95,Computer Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Medicine students focusing on Business Management. Full tuition coverage available.,2026-05-26,Full,"UK, Brazil, USA"
S0096,Computer Science Excellence Scholarship 96,Engineering,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Law students focusing on Business Management. Partial funding available.,2025-12-23,Research Grant,"UAE, India, Germany"
S0097,Engineering Excellence Scholarship 97,Business,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Data Analysis. Research grant available.,2026-02-26,Research Grant,"Australia, Japan, Canada"
S0098,Engineering Excellence Scholarship 98,Law,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on AI. Full tuition coverage available.,2026-04-19,Partial,"UK, Canada, Japan"
S0099,Education Excellence Scholarship 99,Data Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Education students focusing on Machine Learning. Research grant available.,2026-04-07,Full,"Japan, Brazil, UAE"
S0100,Law Excellence Scholarship 100,Computer Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Medicine students focusing on AI. Full tuition coverage available.,2026-03-08,Partial,"Brazil, Canada, South Africa"
S0101,Law Excellence Scholarship 101,Education,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Law students focusing on Environmental Conservation. Partial funding available.,2026-10-30,Partial,"South Africa, Brazil, USA"
S0102,Computer Science Excellence Scholarship 102,Arts,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Data Science students focusing on Data Analysis. Partial funding available.,2026-06-30,Research Grant,"Brazil, Japan, Australia"
S0103,Computer Science Excellence Scholarship 103,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Law students focusing on Data Analysis. Research grant available.,2026-07-02,Research Grant,"South Africa, Japan, Australia"
S0104,Law Excellence Scholarship 104,Medicine,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Medicine students focusing on Medical Research. Research grant available.,2026-07-11,Research Grant,"Japan, Brazil, USA"
S0105,Engineering Excellence Scholarship 105,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Education students focusing on AI. Partial funding available.,2025-12-28,Partial,"USA, Japan, UK"
S0106,Education Excellence Scholarship 106,Environmental Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Data Science students focusing on Web Development. Partial funding available.,2026-07-22,Research Grant,"UK, USA, India"
S0107,Law Excellence Scholarship 107,Computer Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Law students focusing on Machine Learning. Full tuition coverage available.,2026-04-04,Research Grant,"USA, Brazil, Japan"
S0108,Law Excellence Scholarship 108,Computer Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Business Management. Full tuition coverage available.,2026-11-01,Partial,"UK, South Africa, UAE"
S0109,Business Excellence Scholarship 109,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Law students focusing on Business Management. Partial funding available.,2026-06-11,Research Grant,"Australia, India, USA"
S0110,Environmental Science Excellence Scholarship 110,Medicine,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Engineering students focusing on Education Technology. Full tuition coverage available.,2026-03-27,Research Grant,"Japan, Germany, USA"
S0111,Law Excellence Scholarship 111,Medicine,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Data Science students focusing on Medical Research. Research grant available.,2026-06-23,Full,"Brazil, UK, UAE"
S0112,Computer Science Excellence Scholarship 112,Education,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Environmental Conservation. Partial funding available.,2026-09-22,Partial,"USA, Germany, South Africa"
S0113,Data Science Excellence Scholarship 113,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Medicine students focusing on AI. Partial funding available.,2026-07-31,Research Grant,"Canada, India, UK"
S0114,Data Science Excellence Scholarship 114,Engineering,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Machine Learning. Research grant available.,2026-09-30,Partial,"UK, South Africa, USA"
S0115,Business Excellence Scholarship 115,Medicine,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Education Technology. Research grant available.,2026-10-29,Full,"India, Brazil, UK"
S0116,Arts Excellence Scholarship 116,Law,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Computer Science students focusing on Legal Studies. Full tuition coverage available.,2026-10-03,Partial,"Germany, UK, Canada"
S0117,Business Excellence Scholarship 117,Law,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Medicine students focusing on Creative Arts. Full tuition coverage available.,2026-02-28,Full,"UK, South Africa, Brazil"
S0118,Education Excellence Scholarship 118,Data Science,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Education students focusing on Creative Arts. Research grant available.,2025-12-09,Partial,"UK, India, UAE"
S0119,Engineering Excellence Scholarship 119,Data Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Data Analysis. Partial funding available.,2026-04-22,Full,"Australia, UK, UAE"
S0120,Arts Excellence Scholarship 120,Education,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Medical Research. Partial funding available.,2026-07-29,Partial,"Brazil, USA, India"
S0121,Computer Science Excellence Scholarship 121,Computer Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Computer Science students focusing on Legal Studies. Partial funding available.,2026-04-08,Research Grant,"Brazil, Germany, Canada"
S0122,Environmental Science Excellence Scholarship 122,Education,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Engineering students focusing on Medical Research. Research grant available.,2026-02-25,Research Grant,"UAE, Brazil, South Africa"
S0123,Business Excellence Scholarship 123,Education,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Environmental Conservation. Full tuition coverage available.,2026-10-29,Research Grant,"Canada, Australia, UAE"
S0124,Medicine Excellence Scholarship 124,Education,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Engineering students focusing on AI. Partial funding available.,2026-02-16,Partial,"India, South Africa, UAE"
S0125,Business Excellence Scholarship 125,Arts,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Education students focusing on Medical Research. Research grant available.,2026-08-04,Full,"Japan, Canada, South Africa"
S0126,Data Science Excellence Scholarship 126,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Legal Studies. Research grant available.,2026-08-28,Research Grant,"Australia, Canada, Japan"
S0127,Data Science Excellence Scholarship 127,Data Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Environmental Conservation. Research grant available.,2026-03-27,Research Grant,"South Africa, USA, UAE"
S0128,Engineering Excellence Scholarship 128,Law,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Environmental Conservation. Full tuition coverage available.,2026-03-21,Partial,"UAE, UK, Australia"
S0129,Business Excellence Scholarship 129,Computer Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Medicine students focusing on Legal Studies. Full tuition coverage available.,2026-01-10,Research Grant,"Brazil, Australia, USA"
S0130,Education Excellence Scholarship 130,Computer Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Arts students focusing on Data Analysis. Full tuition coverage available.,2026-02-28,Full,"UK, UAE, South Africa"
S0131,Engineering Excellence Scholarship 131,Business,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Arts students focusing on Machine Learning. Full tuition coverage available.,2026-10-18,Research Grant,"Brazil, Canada, Germany"
S0132,Education Excellence Scholarship 132,Education,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Business students focusing on Education Technology. Research grant available.,2026-05-24,Research Grant,"UK, USA, Japan"
S0133,Environmental Science Excellence Scholarship 133,Law,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Medicine students focusing on Environmental Conservation. Full tuition coverage available.,2026-09-01,Full,"Brazil, UAE, India"
S0134,Computer Science Excellence Scholarship 134,Law,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Legal Studies. Full tuition coverage available.,2026-02-05,Research Grant,"Australia, UAE, Japan"
S0135,Data Science Excellence Scholarship 135,Law,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on AI. Research grant available.,2026-04-01,Full,"South Africa, India, USA"
S0136,Arts Excellence Scholarship 136,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Medicine students focusing on Education Technology. Partial funding available.,2026-03-01,Full,"Japan, India, Australia"
